Precipitation Value,File Name
1.3,3IMERG.20230929-S003000-E005959.nc4
2.28,3IMERG.20230929-S010000-E012959.nc4
1.83,3IMERG.20230929-S013000-E015959.nc4
3.78,3IMERG.20230929-S020000-E022959.nc4
1.26,3IMERG.20230929-S023000-E025959.nc4
3.64,3IMERG.20230929-S030000-E032959.nc4
6.59,3IMERG.20230929-S033000-E035959.nc4
2.18,3IMERG.20230929-S040000-E042959.nc4
2.65,3IMERG.20230929-S043000-E045959.nc4
3.23,3IMERG.20230929-S050000-E052959.nc4
5.51,3IMERG.20230929-S053000-E055959.nc4
2.68,3IMERG.20230929-S060000-E062959.nc4
2.62,3IMERG.20230929-S063000-E065959.nc4
4.34,3IMERG.20230929-S070000-E072959.nc4
0.98,3IMERG.20230929-S073000-E075959.nc4
1.64,3IMERG.20230929-S080000-E082959.nc4
4.53,3IMERG.20230929-S083000-E085959.nc4
4.94,3IMERG.20230929-S090000-E092959.nc4
3.89,3IMERG.20230929-S093000-E095959.nc4
2.76,3IMERG.20230929-S100000-E102959.nc4
2.96,3IMERG.20230929-S103000-E105959.nc4
3.27,3IMERG.20230929-S110000-E112959.nc4
4.47,3IMERG.20230929-S113000-E115959.nc4
6.83,3IMERG.20230929-S120000-E122959.nc4
8.79,3IMERG.20230929-S123000-E125959.nc4
5.62,3IMERG.20230929-S130000-E132959.nc4
12.02,3IMERG.20230929-S133000-E135959.nc4
11.98,3IMERG.20230929-S140000-E142959.nc4
5.99,3IMERG.20230929-S143000-E145959.nc4
4.16,3IMERG.20230929-S150000-E152959.nc4
3.45,3IMERG.20230929-S153000-E155959.nc4
2.41,3IMERG.20230929-S160000-E162959.nc4
2.11,3IMERG.20230929-S163000-E165959.nc4
3.95,3IMERG.20230929-S170000-E172959.nc4
7.9,3IMERG.20230929-S173000-E175959.nc4
10.41,3IMERG.20230929-S180000-E182959.nc4
12.81,3IMERG.20230929-S183000-E185959.nc4
7.96,3IMERG.20230929-S190000-E192959.nc4
3.53,3IMERG.20230929-S193000-E195959.nc4
4.1,3IMERG.20230929-S200000-E202959.nc4
5.96,3IMERG.20230929-S203000-E205959.nc4
4.61,3IMERG.20230929-S210000-E212959.nc4
2.9,3IMERG.20230929-S213000-E215959.nc4
2.33,3IMERG.20230929-S220000-E222959.nc4
0.84,3IMERG.20230929-S223000-E225959.nc4
0.31,3IMERG.20230929-S230000-E232959.nc4
